Index,Time,(((supercap).sampler_).iRefree_).adc_val_
0,0.000000,459.108215
1,0.000981,458.831665
2,0.001987,459.813751
3,0.002981,459.000366
4,0.003987,460.131378
5,0.004980,459.154327
6,0.005987,459.361725
7,0.007003,459.194794
8,0.007989,459.030212
9,0.008982,459.4711
10,0.009989,459.397461
11,0.011003,459.264618
12,0.011985,459.185883
13,0.012990,459.566803
14,0.013984,459.507446
15,0.014991,459.443909
16,0.015987,459.681335
17,0.016982,459.155914
18,0.017978,459.442963
19,0.018986,458.790436
20,0.019981,459.041565
21,0.020988,459.064728
22,0.021999,459.763428
23,0.022981,459.273132
24,0.023988,459.641571
25,0.024983,459.988342
26,0.025990,459.473694
27,0.026985,459.251221
28,0.027981,459.04834
29,0.028988,459.343964
30,0.029984,458.575592
31,0.030991,458.25708
32,0.032060,458.815521
33,0.032985,458.631531
34,0.033981,458.885315
35,0.034988,459.23999
36,0.035983,459.133057
37,0.036989,459.30426
38,0.037986,459.972931
39,0.038983,458.558777
40,0.039990,459.203369
41,0.040985,459.94577
42,0.041979,459.032684
43,0.043001,458.277527
44,0.043981,459.236847
45,0.044987,458.865387
46,0.045981,459.243988
47,0.046988,458.925323
48,0.047984,459.46405
49,0.048990,459.104858
50,0.049984,459.501984
51,0.050990,459.809143
52,0.051982,459.568146
53,0.053066,459.321594
54,0.053982,459.63559
55,0.054988,459.464691
56,0.055982,459.8302
57,0.056987,459.173309
58,0.057985,459.039124
59,0.058991,459.565552
60,0.059985,459.311615
61,0.060991,459.830597
62,0.061984,459.596191
63,0.062991,459.309265
64,0.063996,459.570648
65,0.065044,459.530151
66,0.065989,459.451385
67,0.066983,458.887909
68,0.067979,458.766052
69,0.068986,459.688263
70,0.069980,459.457123
71,0.070986,459.106812
72,0.071979,459.438507
73,0.072986,459.125916
74,0.074004,459.041046
75,0.074999,460.015045
76,0.075981,459.196533
77,0.077006,460.284058
78,0.077988,459.78775
79,0.078983,458.881073
80,0.079989,459.455353
81,0.080983,459.705902
82,0.081990,459.415039
83,0.082984,459.846039
84,0.083990,459.312256
85,0.085003,460.110931
86,0.085984,460.209045
87,0.086980,460.36731
88,0.087990,459.738312
89,0.088985,459.467346
90,0.089991,459.872284
91,0.090985,459.25885
92,0.091991,458.418488
93,0.092985,458.891754
94,0.093980,459.616882
95,0.095073,459.551697
96,0.095989,459.83197
97,0.096985,459.536682
98,0.097982,458.938416
99,0.098989,459.46875
100,0.099982,459.497986
101,0.100989,459.784485
102,0.101983,459.561798
103,0.102990,459.104309
104,0.103984,458.958191
105,0.104991,459.509003
106,0.105995,459.648712
107,0.106991,459.174988
108,0.107989,459.81189
109,0.108982,459.603943
110,0.109988,460.198456
111,0.110982,459.796814
112,0.111988,459.290833
113,0.112982,459.097137
114,0.113988,459.026581
115,0.114981,459.904907
116,0.116013,459.088867
117,0.116997,459.385468
118,0.117983,459.851654
119,0.118989,459.696136
120,0.119983,459.809113
121,0.120989,459.562897
122,0.122195,459.689056
123,0.122990,460.293335
124,0.123983,460.148926
125,0.124989,459.165405
126,0.125984,459.309906
127,0.126995,459.718597
128,0.127979,459.65274
129,0.128986,460.202179
130,0.129981,459.950012
131,0.130987,459.873627
132,0.131981,459.734497
133,0.132987,459.941833
134,0.133981,459.096741
135,0.134987,459.282379
136,0.135981,459.442871
137,0.136987,459.378357
138,0.137997,459.010834
139,0.138979,459.925354
140,0.139985,459.452698
141,0.140979,460.138885
142,0.141986,459.328674
143,0.142979,459.550842
144,0.143986,459.369202
145,0.144980,459.772064
146,0.145986,459.932312
147,0.146979,459.80191
148,0.148016,459.344147
149,0.148994,459.632111
150,0.149990,459.481262
151,0.150985,460.025208
152,0.151978,460.079102
153,0.152985,459.442963
154,0.153992,459.260193
155,0.154986,459.273071
156,0.155980,459.381927
157,0.156987,459.302521
158,0.157984,459.89801
159,0.158995,460.234192
160,0.159990,459.212524
161,0.160985,459.123138
162,0.161979,459.475372
163,0.162986,459.55072
164,0.163979,459.648712
165,0.164986,459.481049
166,0.165979,459.510071
167,0.166986,459.197479
168,0.167984,459.459137
169,0.169017,460.021851
170,0.170002,460.017761
171,0.170985,459.023254
172,0.171979,459.407074
173,0.172986,459.519531
174,0.173981,459.261322
175,0.174987,459.169098
176,0.175979,459.238678
177,0.176985,459.214447
178,0.177982,459.396973
179,0.178987,459.363922
180,0.180068,459.107513
181,0.180982,459.959991
182,0.181980,459.149872
183,0.182997,459.178009
184,0.183979,459.591949
185,0.184986,458.668823
186,0.185979,458.875061
187,0.186985,459.199799
188,0.187982,459.191437
189,0.188988,458.8685
190,0.189981,458.887482
191,0.190988,459.129547
192,0.192003,459.900299
193,0.192984,459.265411
194,0.193990,459.431763
195,0.194982,459.545013
196,0.195988,459.441589
197,0.196983,459.064362
198,0.197981,459.657196
