Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,XDCR_CMT-7525-80-SMT-TR,1,CMT-7525-80-SMT-TR,
"C1, C10, C11, C12, C13, C14, C15, C2, C20, C29",0603,10,100nf,
"C16, C17, C18, C27, C28",0603,5,1uf,
"C21, C30, C31",0603,3,22uf,
"C32, C33, C34, C35, C36, C37, C38",0603,7,1nf,
C9,0603,1,10nf,
D1,D_SOD-123F,1,k36,
"D6, D7",LED_Avago_PLCC4_3.2x2.8mm_CW,2,LED_Dual_AAKK,
"FB2, FB4, FB5, FB6, FB7",0603,5,FerriteBead,
J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02,
J2,Molex_CLIK-Mate_502386-0470_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
J3,Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal,1,Conn_01x32_MountingPin,
J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03,
"Q1, Q3, Q4, Q5, Q6",SOT-23,5,Si2308,
"R1, R12, R19, R4",0603,4,10k,
"R10, R6, R7, R8, R9",0603,5,120R,
"R11, R3",0603,2,90k,
"R2, R26, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41",0603,14,33R,
"R23, R24, R25, R27, R28, R29",0603,6,51R,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32G474VCTx,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1044GT/3Z,TJA1044GT/3Z
"U5, U8",SOT-23-3,2,XC6206PxxxMR,
X1,OSC_CSTCE8M00G55-R0,1,CSTCE24M,CSTCE8M00G15C99-R0
