Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,136.8,-106.6,180.0,bottom
C1,125.6,-101.5,0.0,bottom
C10,125.5,-106.4,0.0,top
C11,132.82,-104.8,270.0,top
C12,136.5,-88.6,270.0,top
C13,127.8,-84.9,0.0,top
C14,117.5,-85.0625,90.0,top
C15,136.8,-94.9,270.0,top
C16,138.28,-94.9,90.0,top
C17,116.0,-80.8625,90.0,top
C18,110.4,-79.7,270.0,top
C2,117.0,-101.7,180.0,top
C20,138.3,-108.5,0.0,top
C21,138.3,-107.0,180.0,top
C27,139.8,-94.9,90.0,top
C28,136.3375,-91.0,0.0,top
C29,114.0425,-82.3,270.0,bottom
C30,114.0425,-79.0,270.0,bottom
C31,111.9825,-84.72,0.0,bottom
C32,139.8875,-98.76,0.0,top
C33,129.9,-108.1,270.0,top
C34,128.44,-108.1,270.0,top
C35,139.8875,-97.3,0.0,top
C36,139.8875,-100.22,0.0,top
C37,131.36,-108.1,270.0,top
C38,139.8875,-101.68,0.0,top
C9,136.3375,-92.5,180.0,top
D1,135.5,-106.3,90.0,top
D6,120.8,-106.5,90.0,top
D7,117.1,-106.5,90.0,top
FB2,135.1125,-109.3,0.0,top
FB4,111.8125,-81.8,0.0,bottom
FB5,111.8125,-83.26,0.0,bottom
FB6,113.9,-104.6,180.0,bottom
FB7,113.9,-106.1,180.0,bottom
J1,112.0,-94.9,90.0,top
J2,112.0,-86.5,270.0,top
J3,125.9,-82.05,0.0,bottom
J4,112.0,-102.7,90.0,top
Q1,138.6375,-104.55,180.0,top
Q3,121.7375,-106.4,0.0,bottom
Q4,121.7375,-101.4,0.0,bottom
Q5,117.8375,-106.4,0.0,bottom
Q6,117.8375,-101.4,0.0,bottom
R1,125.6,-100.0,180.0,bottom
R10,117.5575,-103.9,0.0,bottom
R11,136.7,-100.22,180.0,bottom
R12,139.8875,-100.22,0.0,bottom
R19,116.4,-98.5,270.0,top
R2,114.9,-98.5,90.0,top
R23,128.44,-104.8,270.0,top
R24,129.9,-104.8,270.0,top
R25,131.36,-104.8,270.0,top
R26,136.5875,-97.3,0.0,top
R27,136.5875,-100.22,0.0,top
R28,136.5875,-98.76,0.0,top
R29,136.5875,-101.68,0.0,top
R3,129.1,-102.6,270.0,bottom
R30,127.72,-81.7,270.0,top
R31,126.26,-81.7,270.0,top
R32,124.8,-81.7,270.0,top
R33,123.34,-81.7,270.0,top
R34,133.56,-81.7,270.0,top
R35,132.1,-81.7,270.0,top
R36,130.64,-81.7,270.0,top
R37,129.18,-81.7,270.0,top
R38,121.88,-81.7,270.0,top
R39,120.42,-81.7,270.0,top
R4,131.3,-106.4,270.0,bottom
R40,118.96,-81.7,270.0,top
R41,117.5,-81.7,270.0,top
R6,116.4,-94.9,270.0,top
R7,122.0175,-108.9,0.0,bottom
R8,122.0175,-103.9,180.0,bottom
R9,117.5575,-108.9,0.0,bottom
U1,125.9,-94.4,0.0,top
U4,114.7,-94.835,90.0,bottom
U5,113.2,-79.7,180.0,top
U8,139.7375,-91.2,90.0,top
X1,125.65,-104.4,0.0,top
