Designator,Mid X,Mid Y,Rotation,Layer
C1,34.08,-15.57,270.0,bottom
C10,-3.46,-18.79,270.0,bottom
C11,19.89,-15.06,90.0,top
C12,15.985,-1.28,0.0,bottom
C13,15.985,-16.13,0.0,bottom
C14,11.91,-43.57,180.0,bottom
C15,36.3775,-1.28,0.0,bottom
C16,31.76,-28.84,180.0,bottom
C17,31.76,-43.685,180.0,bottom
C18,18.37,-5.78,270.0,bottom
C19,18.37,-20.555,270.0,bottom
C2,25.06,-28.9225,270.0,bottom
C20,9.5,-39.205,90.0,bottom
C21,38.01,-7.99,0.0,bottom
C22,29.365,-24.185,90.0,bottom
C23,29.365,-39.035,90.0,bottom
C24,5.23,-11.29,0.0,top
C25,41.5,-13.3,180.0,top
C26,8.83,-35.0,90.0,top
C27,41.5,-15.6,180.0,top
C28,8.83,-7.735,270.0,top
C29,41.5,-29.5,180.0,top
C3,29.06,-29.9,270.0,top
C30,5.38,-33.8,0.0,top
C31,41.5,-32.0,180.0,top
C32,5.38,-31.48,0.0,top
C33,41.25,-34.25,180.0,top
C4,1.9125,-9.34,0.0,top
C5,30.46,-11.8,90.0,bottom
C6,21.47,-25.16,90.0,bottom
C7,18.5,-28.9225,270.0,bottom
C8,27.54,-15.57,90.0,bottom
C9,19.89,-29.9,90.0,top
D1,1.167684,-22.158713,270.0,bottom
D2,40.49,-15.2725,270.0,bottom
FB1,1.167684,-18.41,90.0,bottom
FB2,40.49,-11.5525,90.0,bottom
J1,5.32,-26.61,270.0,bottom
J2,-1.04,-22.49,180.0,top
J3,41.1,-22.5,0.0,top
L1,30.6445,-15.57,180.0,bottom
L2,21.657,-28.9225,180.0,bottom
L3,25.61,-7.64,0.0,top
L4,25.61,-22.48,0.0,top
L5,25.61,-37.32,0.0,top
Q1,12.82,-11.22,180.0,top
Q10,34.86,-26.06,0.0,top
Q11,34.86,-33.74,0.0,top
Q12,34.86,-40.9,0.0,top
Q2,12.82,-4.06,180.0,top
Q3,12.82,-26.06,180.0,top
Q4,12.82,-18.9,180.0,top
Q5,12.82,-33.74,0.0,top
Q6,12.82,-40.9,0.0,top
Q7,34.86,-11.22,180.0,top
Q8,34.86,-4.06,180.0,top
Q9,34.86,-18.9,0.0,top
R1,6.06,-22.28,0.0,top
R10,32.1075,-1.28,180.0,bottom
R11,36.03,-28.84,180.0,bottom
R12,36.03,-43.685,180.0,bottom
R13,13.935,-8.28,0.0,bottom
R14,11.735,-23.03,0.0,bottom
R15,13.96,-36.685,180.0,bottom
R16,34.3275,-8.28,0.0,bottom
R17,36.03,-21.97,180.0,bottom
R18,36.03,-36.825,180.0,bottom
R19,17.435,-7.64,0.0,top
R2,29.0,-11.8025,90.0,bottom
R20,17.435,-22.48,0.0,top
R21,17.435,-37.32,180.0,top
R3,29.73,-9.42,0.0,bottom
R4,20.0,-25.16,90.0,bottom
R5,20.55,-22.7825,0.0,bottom
R6,4.11,-25.73,90.0,top
R7,11.735,-1.28,0.0,bottom
R8,11.715,-16.13,0.0,bottom
R9,16.18,-43.57,0.0,bottom
U1,32.8975,-11.8,90.0,bottom
U10,13.96,-40.135,90.0,bottom
U11,34.3275,-4.78,270.0,bottom
U12,33.81,-25.405,90.0,bottom
U13,33.81,-40.255,90.0,bottom
U2,23.91,-25.16,90.0,bottom
U3,24.4725,-29.925,270.0,top
U4,4.315,-16.15,0.0,top
U5,17.41,-28.2925,180.0,top
U6,-2.525,-24.3025,0.0,bottom
U7,17.41,-13.44,180.0,top
U8,13.935,-4.78,270.0,bottom
U9,13.935,-19.58,270.0,bottom
