Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,4.7uf,
"C10, C11, C3, C4, C5, C6, C9",0603,7,100nf,
"C12, C13, C14, C15, C16, C17",0603,6,4.7uf,
"C18, C19, C20, C21, C22, C23",0603,6,100n,
"C24, C33",C_Radial_D10.0mm_H20.0mm_P5.00mm,2,470u,
"C25, C26, C27, C28, C29, C30, C31, C32",1206,8,10u,
"C7, C8",0603,2,22uf,
"D1, D2",D_SOD-123F,2,k36,
"FB1, FB2",0603,2,FerriteBead,
J1,Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal,1,Conn_01x32_MountingPin,
J2,1_03,1,Conn_01x03,
J3,01_02,1,Conn_01x02,
"L1, L2",CD32-3R3M,2,CD32-3R3M,CD32-3R3M
"L3, L4, L5",L_Bourns_SRP1050WA,3,4u7,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TDSON-8-1,12,BSC070N10NS5,
"R1, R19, R20, R21, R6",0612,5,2mR,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R7, R8, R9",0603,12,R_Gate,
R2,0603,1,510k,
R3,0603,1,27k,
R4,0603,1,220k,
R5,0603,1,30k,
"U1, U2",SOT-23-6,2,ME3121AM6G,ME3121AM6G
"U10, U11, U12, U13, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,6,UCC27201A,
"U3, U4, U5, U6, U7",TSSOP-8_4.4x3mm_P0.65mm,5,INA240A1PW,
